Time	Fx	Fy	Fz	COPx	COPy	COPz	Ty
1	45.93	27.92	1.98	1570.94	0	1110.45	-14162.6
2	-0	-0	-0	2149	0	976.7	-0
3	20.68	23.8	1.22	1862.03	0	1104.66	-5273.6
4	-0	-0	-0	2149	0	976.7	-0
5	10.6	21.67	-0	2445.07	0	1075.25	-8443.86
6	-0.53	-22.28	2.37	2356.21	0	929.03	-878.09
7	5.95	17.7	3.43	1998.87	0	941.35	-3360.95
8	-0	-0	-0	2149	0	976.7	-0
9	-0	-0	-0	2149	0	976.7	-0
10	-0	-0	-0	2149	0	976.7	-0
11	-0	-0	-0	2149	0	976.7	-0
12	-0	-0	-0	2149	0	976.7	-0
13	-0	-0	-0	2149	0	976.7	-0
14	-0	-0	-0	2149	0	976.7	-0
15	-0	-0	-0	2149	0	976.7	-0
16	-0	-0	-0	2149	0	976.7	-0
17	-0	-0	-0	2149	0	976.7	-0
18	-0	-0	-0	2149	0	976.7	-0
19	-0	-0	-0	2149	0	976.7	-0
20	-0	-0	-0	2149	0	976.7	-0
21	-0	-0	-0	2149	0	976.7	-0
22	-0	-0	-0	2149	0	976.7	-0
23	-0	-0	-0	2149	0	976.7	-0
24	-0	-0	-0	2149	0	976.7	-0
25	-0	-0	-0	2149	0	976.7	-0
26	-0	-0	-0	2149	0	976.7	-0
27	-0	-0	-0	2149	0	976.7	-0
28	15.79	15.87	0.76	2933.16	0	857.02	1290.5
29	-7.1	-15.26	8.85	2695.98	0	845	3219.6
30	-0	-0	-0	2149	0	976.7	-0
31	-0	-0	-0	2149	0	976.7	-0
32	-0	-0	-0	2149	0	976.7	-0
33	-0	-0	-0	2149	0	976.7	-0
34	-0	-0	-0	2149	0	976.7	-0
35	0.84	36.77	4.12	2275.07	0	1072.52	-2954.05
36	-56.23	65.16	-7.86	1951.75	0	1037.51	-11999
37	-0	-0	-0	2149	0	976.7	-0
38	-80.49	140.53	31.2	2086.45	0	1102.12	16418.6
39	-184.25	193.18	8.32	2030.27	0	1111.12	7555.77
40	-94.99	257.57	-18.54	2079.49	0	1060.67	-22791.2
41	-197.37	344.7	20.75	2075.47	0	1089.52	7911.53
42	-30.52	553.44	32.2	2128.02	0	1073.21	7228.94
43	14.42	629.73	26.47	2040.62	0	1094.22	10265.7
44	-60.81	839.23	-1.07	2073.37	0	1074.23	1209.9
45	0.53	958.56	-63.78	2081.61	0	1077.7	6586.5
46	-108.03	1092.53	-68.97	2033.22	0	1084.92	23284.5
47	-168.84	1195.07	-121.31	2063.63	0	1071.62	-4657.97
48	-154.65	1152.34	-63.02	2026.86	0	1079.71	13889.1
49	-112.92	1185.76	10.91	2049.63	0	1075.98	9297.01
50	-128.4	1190.34	36.62	2040.92	0	1070.11	-21308.6
51	-183.11	1185.46	83.16	2027.74	0	1082.09	13989.9
