Time	Fx	Fy	Fz	COPx	COPy	COPz	Ty
1	-0	-0	-0	2149	0	976.7	-0
2	-0	-0	-0	2149	0	976.7	-0
3	-0	-0	-0	2149	0	976.7	-0
4	-0	-0	-0	2149	0	976.7	-0
5	-0	-0	-0	2149	0	976.7	-0
6	-0	-0	-0	2149	0	976.7	-0
7	-0	-0	-0	2149	0	976.7	-0
8	-0	-0	-0	2149	0	976.7	-0
9	-0	-0	-0	2149	0	976.7	-0
10	-5.49	-16.63	-7.32	2582.39	0	990.31	-9272.02
11	-0	-0	-0	2149	0	976.7	-0
12	-0	-0	-0	2149	0	976.7	-0
13	-0	-0	-0	2149	0	976.7	-0
14	-0	-0	-0	2149	0	976.7	-0
15	-0	-0	-0	2149	0	976.7	-0
16	-0	-0	-0	2149	0	976.7	-0
17	-0	-0	-0	2149	0	976.7	-0
18	-0	-0	-0	2149	0	976.7	-0
19	-0	-0	-0	2149	0	976.7	-0
20	-0	-0	-0	2149	0	976.7	-0
21	-0	-0	-0	2149	0	976.7	-0
22	-0	-0	-0	2149	0	976.7	-0
23	-0	-0	-0	2149	0	976.7	-0
24	-0	-0	-0	2149	0	976.7	-0
25	-0	-0	-0	2149	0	976.7	-0
26	-0	-0	-0	2149	0	976.7	-0
27	-7.55	185.7	24.49	2674.85	0	1145.91	2510.52
28	-162.43	398.25	-54.47	2741.73	0	1132.51	24967.7
29	-165.86	723.27	-169.37	2607.92	0	1071.43	-14051.8
30	-550.69	495.3	-47	2612.98	0	1185.3	-19149
31	-231.17	1160.43	-86.21	2588.29	0	1084.99	-61721.8
32	-395.66	1352.69	-202.48	2571.18	0	1093.83	59219.3
33	6.71	1531.22	-330.58	2567.17	0	1092.17	-76964.3
34	-51.57	1656.04	-67.14	2538.79	0	1095.3	-87965.4
35	-247.34	1882.78	-55.54	2547.3	0	1078.59	34069.7
36	-194.93	1782.99	-186.39	2506.34	0	1079.07	-40623.4
37	-315.32	1879.12	-47.99	2489.71	0	1068.38	-8941.23
38	-426.41	1712.34	141.91	2515.63	0	1085.24	67799.9
39	-230.87	1678.01	-6.03	2493.09	0	1081.95	-9559.02
40	-381.09	1650.24	18.31	2519.99	0	1085.72	26684.2
41	-363.62	1639.4	45.32	2473.82	0	1072.58	44575.3
42	-297.32	1643.83	23.65	2442.17	0	1080.89	-27977.2
43	-461.65	1727.29	-83.31	2465.98	0	1071.18	36099.9
44	-371.32	1671.91	-51.27	2431.69	0	1079.41	351.87
45	-279.62	1811.37	-4.12	2434.52	0	1077.47	-36935.1
46	-409.77	1766.66	-68.97	2408.97	0	1085.94	40532.1
47	-159.76	1892.85	-106.28	2390.5	0	1080.72	-10333.6
48	-294.88	1907.2	-40.89	2392.69	0	1089.67	-11139.5
49	-194.47	1934.81	-119.32	2359.92	0	1084.39	-5338.14
50	-53.63	2086.79	-189.9	2350.34	0	1073.33	-42364
51	-269.78	1930.39	-176.39	2309.33	0	1089.57	17736.7
52	52.72	2148.9	-129.39	2334.08	0	1076.19	-41943.1
53	-105.21	1953.58	-199.74	2293.63	0	1093.64	-861.4
54	-27.54	2010.96	-176.01	2285.35	0	1091.08	-873.62
55	92.16	2004.85	-121.61	2284.17	0	1091.32	-16392.8
56	-49.36	1896.67	-159.53	2234.87	0	1094.69	6844.11
57	174.41	2020.57	-174.79	2250.02	0	1079.42	-28539
58	77.13	1851.96	-146.1	2211.77	0	1089.79	15158.1
59	143.05	1917.27	-120.93	2210.18	0	1082.26	-12895.1
60	224.99	1836.09	-138.02	2201.16	0	1082.82	-610.48
61	159.61	1759.8	-123.98	2173.69	0	1086.15	9708.14
62	272.83	1791.69	-101.47	2186.18	0	1080.56	-19562.5
63	232.85	1619.11	-93.61	2142.61	0	1089.37	6990.57
64	293.05	1636.05	-100.71	2148.24	0	1078.89	1338.48
65	302.51	1517.79	-72.86	2132.17	0	1084.62	-22066
66	299.15	1435.85	-67.52	2089.7	0	1081.99	16659
67	359.5	1379.7	-62.79	2121.39	0	1078.77	-14764.6
68	311.66	1269.07	-65.77	2055.47	0	1079.11	4838.21
69	371.48	1203.46	-32.73	2074.83	0	1075.25	-3026.89
70	335.54	1113.28	-40.59	2060.21	0	1076.32	-5127.63
71	330.28	1002.2	-36.09	2006.2	0	1078.39	10747.1
72	386.89	959.32	-5.34	2065.1	0	1072.09	-21935.8
73	290.45	822.3	-14.04	1973.1	0	1077.11	1298.23
74	374.22	768.59	-17.78	2019.93	0	1070.76	3045.01
75	305.25	689.39	-5.11	1991.37	0	1067.2	-4460.69
76	308.69	580.29	4.58	1975.57	0	1072.17	-9418.79
77	316.24	537.26	-4.12	2007.62	0	1066.8	-4399.46
78	220.79	431.52	-11.98	1924.57	0	1077.08	1419.11
79	276.95	406.34	10.07	1998.54	0	1061.9	-7661.26
80	180.89	294.95	4.12	1907.55	0	1087.51	-3975.66
81	185.93	293.12	-16.02	1976.47	0	1055.63	2341.48
82	165.79	221.56	10.6	1887.22	0	1070.85	-6524.3
83	121.54	180.05	7.71	1931.67	0	1078.41	-10694.4
84	123.44	159.76	-15.41	1928.4	0	1029.05	1043.61
85	91.55	110.93	-8.54	1810.49	0	1078.83	958.01
86	77.29	70.34	0.53	2086.3	0	1108.54	-17475.5
87	69.27	77.51	-9.23	1846.66	0	1015.38	-2081.32
88	-0	-0	-0	2149	0	976.7	-0
89	28.76	47.3	-8.85	2365.22	0	915.57	-7297.26
90	-0	-0	-0	2149	0	976.7	-0
91	-0	-0	-0	2149	0	976.7	-0
92	-0	-0	-0	2149	0	976.7	-0
93	-0	-0	-0	2149	0	976.7	-0
94	-0	-0	-0	2149	0	976.7	-0
95	-0	-0	-0	2149	0	976.7	-0
96	10.15	-21.67	1.14	1844.79	0	840.3	-5832
97	-0	-0	-0	2149	0	976.7	-0
98	-0	-0	-0	2149	0	976.7	-0
99	-0	-0	-0	2149	0	976.7	-0
100	-0	-0	-0	2149	0	976.7	-0
101	-0	-0	-0	2149	0	976.7	-0
102	-0	-0	-0	2149	0	976.7	-0
103	-0	-0	-0	2149	0	976.7	-0
104	-0	-0	-0	2149	0	976.7	-0
105	-0	-0	-0	2149	0	976.7	-0
106	25.18	18.77	9.92	2947.17	0	887.97	1484.2
107	-0	-0	-0	2149	0	976.7	-0
108	-0	-0	-0	2149	0	976.7	-0
109	-0	-0	-0	2149	0	976.7	-0
110	-0	-0	-0	2149	0	976.7	-0
111	-0	-0	-0	2149	0	976.7	-0
112	-0	-0	-0	2149	0	976.7	-0
113	-0	-0	-0	2149	0	976.7	-0
114	-0	-0	-0	2149	0	976.7	-0
115	-11.75	-17.24	-3.59	1882.23	0	1055.4	-5509.91
116	13.2	15.41	-0.46	2893.53	0	857.02	-9399.49
117	-0	-0	-0	2149	0	976.7	-0
118	-0	-0	-0	2149	0	976.7	-0
119	-0	-0	-0	2149	0	976.7	-0
120	-0	-0	-0	2149	0	976.7	-0
121	-0	-0	-0	2149	0	976.7	-0
122	-0	-0	-0	2149	0	976.7	-0
123	-0	-0	-0	2149	0	976.7	-0
124	-0	-0	-0	2149	0	976.7	-0
125	-0	-0	-0	2149	0	976.7	-0
126	-0	-0	-0	2149	0	976.7	-0
127	-0	-0	-0	2149	0	976.7	-0
128	-0	-0	-0	2149	0	976.7	-0
129	-0	-0	-0	2149	0	976.7	-0
130	-31.28	175.17	-1.3	2666.53	0	895.39	-13626.4
131	-150.38	336.61	57.68	2705.58	0	888.92	-50848.6
132	-160.83	588.07	188.98	2630.68	0	931.05	-47361.2
133	-509.11	671.84	116.04	2594.71	0	909.41	7945.58
134	-315.02	847.32	230.79	2645.19	0	935.7	57915.8
135	-333.25	1271.67	136.49	2564.39	0	932.33	6047.26
136	-153.12	1158.91	151.06	2637.93	0	932.63	99650.1
137	79.19	1435.39	122.22	2544.61	0	943.89	4195.1
138	-177.08	1474.15	65	2545.2	0	941.64	-39017.7
139	-225.52	1489.56	-86.67	2568.1	0	944.67	-24327.9
140	-317.76	1587.22	-65.31	2493.6	0	945.59	-9007.15
141	-375.52	1452.18	46.23	2554.86	0	959.56	30079.1
142	-341.34	1499.48	-60.12	2485.35	0	956.49	-9879.44
143	-346.91	1442.11	-139.54	2545.91	0	947.65	-34547.6
144	-390.17	1418.3	-52.11	2503.1	0	948.91	-8237.06
145	-322.8	1575.62	-42.72	2477.38	0	944.51	-31613.7
146	-434.65	1516.57	-81.63	2488.29	0	946.87	-19133.8
147	-410.69	1640.78	-9.46	2447.22	0	954.97	20883.1
148	-367.58	1689.15	86.67	2496.4	0	959.33	24852.5
149	-395.89	1679.08	20.75	2415.73	0	955.1	-198.61
150	-216.14	1972.81	0.53	2434.64	0	942.89	4220.62
151	-402.3	1843.87	47	2387.8	0	943.88	-7735.94
152	-186.77	2058.87	71.18	2358.85	0	942.55	11318.5
153	-209.43	2052.92	91.17	2422.61	0	948.78	28569.8
154	-238.8	1982.57	76.9	2333.75	0	946.55	8090.66
155	-30.36	2149.51	179.29	2387.31	0	955.14	27402.3
156	-276.11	2017.67	65	2311.94	0	943.61	27320
157	22.51	2150.12	97.05	2325.36	0	949.59	-255.89
158	-111.85	2069.09	75.99	2300.58	0	943.23	17589
159	-125.2	2066.8	57.37	2260.13	0	945.41	7124.77
160	96.66	2094.12	21.06	2284.78	0	943.56	-3174.72
161	-96.66	2014.77	45.24	2231.07	0	950.15	17441.3
162	133.67	2014.77	64.54	2256.24	0	953.02	4446.43
