Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	1973.6	1015.61	1159.94	1963.93	999.921	938.025	1803.81	1061.28	1108.1	1802.86	1056.78	1005.87	1917.49	1087.37	1198.55	1930.51	1083.22	915.526	2040.49	779.273	1215.68	2124.93	712.054	1190.9	1997.1	736.485	1183.51	2078.88	668.714	1153.27	1982.53	465.346	1153.92	1943.56	394.103	1151.94	1967.82	474.717	1103.01	1926.16	406.372	1101.32	1841.51	316.793	1100.75	1810.84	277.255	1105.9	1838.46	288.196	1148.79	1763.8	766.362	886.679	1734.38	660.231	900.533	1715.06	786.853	932.835	1679.48	682.972	943.551	1490.4	328.568	963.979	1453.16	259.685	985.283	1467.38	355.28	1004.32	1424.89	283.706	1021.02	1366.65	235.653	1044.98	1320.94	212.437	1045.9	1352.4	194.966	1001.42	2024.07	194.026	1100.26	1981.81	219.068	1197.55	1482.19	59.5664	1095.36	1438.15	68.9215	991.2
0.007	1974.75	1018.94	1160.94	1966.56	1002.02	939.09	1805.67	1064.65	1107.6	1805.3	1059.87	1005.35	1917.67	1091.56	1198.23	1933.97	1085.93	916.014	2041.51	782.234	1214.78	2125.57	714.81	1189.59	1997.73	739.31	1183.49	2078.83	670.891	1153.17	1992.76	454.819	1151.82	1957.87	381.035	1149.96	1977.6	463.267	1101.61	1939.75	392.19	1099.58	1861.89	296.436	1096.82	1833.73	255.163	1102.24	1859.94	268.102	1145.48	1763.19	771.442	886.935	1731.54	665.971	900.548	1714.74	792.776	933.057	1676.9	689.637	943.181	1482.79	337.31	963.186	1445.51	268.219	983.57	1460.83	363.136	1004.4	1418.78	291.628	1021.13	1362.76	248.801	1044.03	1315.49	229.089	1046.43	1344.49	208.553	1001.92	2052.41	187.284	1100	2007.07	209.662	1196.64	1466.97	65.3049	1093.7	1420.77	74.8656	991.433
0.013	1975.67	1021.74	1161.7	1968.7	1003.98	940.166	1807.33	1067.65	1107.35	1807.3	1062.79	1005.06	1918.36	1095.4	1197.86	1936.96	1088.19	916.274	2042.26	784.35	1213.89	2125.68	716.168	1188.02	1997.84	741.381	1183.7	2077.7	671.715	1153.64	2002.87	443.789	1150.14	1972.74	367.932	1147.85	1988.36	451.284	1098.97	1954.13	378.278	1097.96	1882.3	276.676	1093.43	1857.11	233.53	1098.78	1881.8	248.575	1142.34	1762.77	776.101	887.169	1729.71	671	900.781	1714.65	798.013	933.412	1675	695.527	943.184	1476.5	345.642	962.049	1438.01	276.824	981.654	1455.25	371.224	1003.99	1412.65	299.846	1020.35	1359.42	262.322	1042.53	1311.11	245.823	1046.7	1337.08	222.609	1001.76	2079.97	181.262	1099.42	2031.98	200.834	1195.52	1452.91	72.2888	1091.29	1403.56	81.9899	990.458
0.02	1976.28	1023.99	1162.15	1970.61	1005.97	940.872	1808.65	1070.28	1107.28	1808.8	1065.39	1004.81	1919.75	1098.67	1197.77	1939.4	1090.03	916.505	2042.74	785.548	1212.87	2125.16	716.367	1186.85	1997.5	742.667	1184.15	2077.02	671.709	1154.24	2013.2	432.162	1148.39	1987.32	354.798	1145.87	1998.7	438.939	1097.3	1968.64	364.235	1095.42	1902.85	257.514	1090.45	1880.62	212.723	1095.56	1904.08	229.347	1139.19	1762.82	780.112	887.43	1728.71	675.4	901.24	1715.15	802.398	933.884	1674.15	700.441	943.424	1471.04	353.714	961.061	1431.25	285.553	980.205	1450.53	379.243	1003.37	1406.82	308.576	1019.46	1356.77	275.572	1040.65	1307.71	262.418	1047.22	1330.3	236.677	1001.51	2106.58	175.853	1098.46	2056.4	192.461	1194.07	1439.6	79.6744	1088.21	1387.13	89.2001	990.32
0.027	1976.54	1025.68	1162.18	1971.88	1007.93	941.305	1809.89	1072.52	1107.38	1810.03	1067.72	1004.62	1920.49	1101.49	1198.05	1941.08	1091.56	916.822	2042.81	785.837	1212.36	2124.2	715.326	1186.18	1996.78	743.133	1184.55	2075.02	670.664	1155.19	2023.35	420.203	1147.03	2001.55	341.617	1144.06	2008.91	426.415	1095.67	1982.75	350.277	1093.66	1923.23	238.986	1087.72	1903.98	192.87	1092.72	1925.83	211.099	1136.68	1763.59	783.221	887.75	1728.83	678.772	901.903	1716.15	805.88	934.455	1674.53	704.219	944.105	1466.53	361.587	960.225	1425.21	294.328	978.665	1446.44	387.373	1002.63	1401.33	317.414	1018.22	1354.19	288.11	1039.42	1304.74	278.333	1048.25	1323.56	250.866	1001.85	2131.92	170.931	1096.75	2080.23	184.298	1192.09	1425.43	86.455	1085.27	1370.73	97.9209	990.536
0.033	1976.4	1027.08	1161.81	1973.08	1009.91	941.346	1810.81	1074.22	1107.56	1810.78	1069.79	1004.57	1921.46	1103.56	1199.19	1942.1	1093.06	917.042	2042.45	785.015	1212.11	2122.62	713.02	1186.34	1995.67	742.835	1184.85	2072.69	668.849	1155.91	2032.63	407.938	1146.13	2015.19	328.434	1142.46	2018.42	413.776	1094.7	1996.42	336.499	1091.9	1943.09	221.239	1085.43	1926.83	173.979	1090.75	1947.37	193.576	1134.82	1764.83	785.327	888.111	1730.06	680.948	902.591	1717.77	808.102	934.995	1676.03	706.569	945.185	1462.57	369.378	959.315	1419.09	303.181	976.975	1443.2	395.294	1001.94	1396	326.554	1016.82	1350.19	300.294	1038.96	1300.42	293.358	1048.98	1316.38	265.066	1002.17	2155.72	166.238	1094.19	2103.27	176.275	1189.51	1410.51	94.9561	1083.09	1353.99	109.954	989.463
0.04	1976.06	1028.23	1161.14	1973.7	1011.8	941.185	1811.84	1075.68	1107.76	1811.3	1071.49	1004.61	1922.19	1104.75	1200.57	1942.59	1094.46	917.164	2041.56	783.083	1212.31	2120.29	709.443	1187.07	1994	741.717	1184.98	2069.71	666.276	1156.45	2041.88	395.5	1145.5	2028.34	315.221	1141.1	2027.32	401.154	1094.08	2009.42	323.015	1090.52	1962.31	204.318	1083.8	1948.89	156.139	1088.76	1968.51	176.474	1132.5	1767	786.11	888.501	1732.43	681.77	903.547	1719.91	809.032	935.444	1678.73	707.379	946.427	1459.05	376.801	958.48	1413.21	312.21	976.037	1440.74	403.402	1001	1390.85	336.547	1015.71	1343.97	312.382	1038.37	1293.87	307.232	1048.37	1308.65	278.625	1001.41	2177.96	161.747	1090.91	2125.46	168.172	1186.63	1396.98	104.844	1081.41	1340.91	122.184	987.841
0.047	1975.42	1029.15	1160.33	1974.26	1013.57	940.606	1812.57	1076.23	1108.12	1811.55	1072.8	1004.74	1922.42	1105.09	1202.02	1942.73	1095.85	917.081	2039.68	780.038	1212.87	2117.17	704.851	1187.99	1991.57	739.684	1184.85	2065.93	662.946	1156.6	2050.12	383.072	1145.37	2040.84	302.229	1140.03	2034.89	388.614	1094.24	2021.5	309.757	1089.46	1980.69	188.267	1082.59	1969.94	139.356	1087.13	1988.91	160.245	1130.7	1769.8	785.654	888.767	1736.01	681.158	904.496	1722.54	808.542	935.587	1682.35	706.649	947.607	1456.26	384.275	957.77	1407.68	321.955	975.494	1438.93	412.136	1000.14	1385.88	347.64	1014.75	1336.49	324.426	1037.15	1286.19	320.403	1046.31	1301.18	291.624	999.425	2198.51	157.683	1086.8	2146.82	159.97	1183.05	1384.65	115.639	1080.04	1330.56	134.775	985.854
0.053	1974.81	1029.77	1159.4	1974.61	1015.11	939.94	1813.08	1076.3	1108.47	1811.59	1073.67	1005	1922.13	1104.72	1203.34	1942.6	1097.39	916.977	2036.12	775.625	1214.27	2112.99	699.309	1189.23	1988.2	736.812	1184.35	2061.36	658.851	1156.38	2057.21	370.825	1145.81	2052.52	289.698	1139.44	2042.32	376.099	1094.4	2032.58	296.786	1088.84	1997.93	173.088	1081.92	1989.86	123.585	1085.73	2008.5	144.71	1129.39	1773.25	783.953	888.832	1740.65	679.221	905.371	1725.44	806.741	935.28	1686.82	704.351	948.59	1454.23	392.113	957.345	1402.81	332.052	975.031	1437.7	421.004	999.047	1381.61	359.128	1013.62	1328.87	336.949	1035.42	1278.31	333.758	1043.06	1294.27	304.928	996.538	2217.1	154.112	1082.06	2167.01	152.033	1179.32	1373.58	127.215	1079.33	1322.27	147.854	983.016
0.06	1974.24	1030.14	1158.65	1974.72	1016.29	939.137	1813.41	1075.84	1108.73	1811.43	1074.04	1005.2	1921.36	1103.51	1204	1942.03	1098.77	916.817	2032.55	770.619	1214.5	2107.74	692.73	1190.42	1984.01	733.24	1183.68	2055.32	653.765	1156.1	2063.97	358.607	1146.85	2063.35	277.672	1139.88	2046.58	364.06	1096.37	2042.25	284.359	1089.08	2013.82	158.626	1081.81	2008.48	108.789	1084.71	2026.96	129.942	1128.61	1777.16	781.193	888.82	1746.2	676.219	906.145	1728.63	803.69	934.63	1692	700.642	949.244	1453.34	399.872	956.826	1399.37	342.12	974.562	1437.17	430.13	998.197	1378.13	371.053	1012.21	1322.13	349.284	1034.11	1271.24	347.926	1038.44	1288.54	318.467	993.197	2233.81	151.307	1076.7	2186.22	144.667	1174.83	1362.91	140.003	1078.37	1315.51	161.271	980.285
0.067	1973.81	1030.17	1157.9	1974.85	1017.16	938.15	1813.58	1074.77	1108.71	1811.13	1073.85	1005.24	1920.38	1101.94	1203.78	1941.16	1100.08	916.522	2028.14	764.815	1214.72	2101.72	685.491	1191.3	1979.13	729.021	1182.52	2048.96	648.872	1155.07	2070.43	346.686	1148.39	2073.76	265.806	1139.55	2051.01	351.998	1098.38	2050.62	272.436	1090.09	2028.08	144.845	1082.17	2025.45	94.7504	1084.27	2044.05	116.019	1128.05	1781.36	777.453	888.691	1752.36	671.981	906.856	1732.01	799.544	933.769	1697.73	695.874	949.634	1454.46	407.328	956.616	1397.27	352.303	973.76	1438.48	438.947	996.765	1376.53	382.652	1010.34	1317.02	362.778	1031.38	1265.91	362.048	1034.12	1284.66	332.497	989.271	2247.91	149.302	1070.75	2203.67	138.453	1170.18	1353.31	153.006	1077.68	1310.22	175.014	977.613
0.073	1973.39	1029.85	1157.09	1974.91	1017.49	937.048	1813.58	1073.21	1108.39	1810.79	1073.03	1005.01	1919.53	1100.13	1202.88	1939.95	1101.07	916.058	2023.18	758.46	1214.88	2095.23	677.636	1191.6	1973.56	724.773	1181.05	2042.23	642.703	1154.18	2076.42	335.276	1150.45	2083.14	254.699	1140.31	2054.49	340.272	1101.38	2057.47	260.743	1091.75	2040.45	131.87	1082.93	2040.51	81.6765	1084.33	2059.36	103.33	1127.85	1786.08	772.918	888.594	1759.21	667.05	907.821	1735.7	794.466	933.028	1703.81	690.212	949.829	1456.73	414.283	956.262	1396.54	362.09	973.181	1441.16	447.521	995.293	1376.56	394.334	1008.72	1313.97	376.616	1028.44	1262.68	376.718	1029.55	1282.67	346.984	985.152	2259.45	147.765	1063.5	2219.14	133.343	1165.14	1343.71	166.363	1076.98	1305.66	189	975.081
0.08	1973.05	1029.25	1156.18	1974.97	1017.2	935.907	1813.44	1071.15	1107.6	1810.5	1071.46	1004.32	1918.55	1098.9	1201.76	1938.57	1101.43	915.521	2017.97	752.051	1214.74	2088.33	669.712	1191.76	1968.13	719.483	1179.24	2035.21	636.332	1153.2	2081.87	324.245	1152.73	2091.37	244.286	1141.55	2057.47	328.886	1104.85	2062.95	249.554	1094.09	2050.8	119.97	1084.17	2053.2	69.7759	1085.09	2072.61	91.9632	1128.11	1791.09	767.65	888.714	1766.33	661.47	908.579	1739.89	788.593	932.472	1710.27	683.666	950.067	1459.75	421.305	955.638	1397.48	372.653	971.434	1445.2	455.683	994.078	1377.98	405.751	1007.15	1312.87	391.014	1025.58	1261.55	391.901	1025.12	1282.5	361.373	981.48	2268.08	145.799	1057.1	2232.23	128.92	1159.87	1335.5	179.94	1076.05	1302.01	203.064	972.454
